Proportion_SingHits,Proportion_SingFA,Proportion_AloudHits,Proportion_AloudFA,Proportion_SilentHits,Proportion_SilentFA
0.65,0.5,0.8,0.384615385,0.5,0.475
0.75,0.275,0.55,0.45,0.4,0.15
0.846153846,0.1,0.7,0.125,0.375,0.075
0.825,0.025641026,0.65,0.175,0.307692308,0.05
0.644444444,0.26,0.622641509,0.208333333,0.456521739,0.260869565
0.775,0.128205128,0.8,0.051282051,0.725,0.15
0.58974359,0.45,0.552631579,0.179487179,0.552631579,0.179487179
0.65,0.075,0.820512821,0.075,0.512820513,0.125
0.85,0.125,0.615384615,0.1,0.425,0
0.5,0.075,0.325,0.05,0.325,0.15
0.722222222,0.282051282,0.552631579,0.230769231,0.222222222,0.153846154
0.436,0.231,0.500,0.175,0.350,0.125
0.7,0.275,0.473684211,0.184210526,0.3,0.105263158
0.875,0.025,0.948717949,0.025641026,0.65,0
0.692307692,0.315789474,0.615384615,0.435897436,0.25,0.051282051
0.775,0.35,0.6,0.375,0.692307692,0.538461538
0.666666667,0.2,0.45,0.205128205,0.3,0.05
0.325,0.05,0.525,0.075,0.425,0.1
0.6,0.153846154,0.4,0.102564103,0.256410256,0.157894737
0.85,0.153846154,0.85,0.175,0.717948718,0.15
0.666666667,0.2,0.475,0.075,0.475,0.15
0.725,0.175,0.475,0.125,0.641025641,0.2
0.775,0.35,0.65,0.175,0.769230769,0.35
0.85,0.3,0.775,0.225,0.825,0.225
0.615384615,0.025,0.542857143,0.333333333,0.538461538,0.128205128
0.538461538,0.076923077,0.4,0.1,0.384615385,0.05
0.775,0.282051282,0.75,0.210526316,0.675,0.025
0.525,0.358974359,0.333333333,0.307692308,0.41025641,0.375
0.85,0.307692308,0.6,0.15,0.4,0.162162162
0.6,0.1,0.615384615,0.205128205,0.641025641,0.425
0.85,0.1,0.525,0,0.7,0.2
0.307692308,0.052631579,0.315789474,0.216216216,0.351351351,0.175
0.923076923,0.475,0.769230769,0.35,0.743589744,0.358974359
0.432432432,0.487179487,0.564102564,0.236842105,0.605263158,0.35
0.825,0.210526316,0.85,0.230769231,0.775,0.35
0.9,0.4,0.8,0.307692308,0.538461538,0.3
